X,Y,Z
490628.64,74485.37,508.31
576131.12,144583.56,254.93
421228.69,115487.48,1476.16
575831.49,157983.49,315.41
447929.71,134887.22,1319.01
422529.01,130487.77,1141.11
521830.16,120285.21,412.23
540930.4,123184.67,380.17
501228.95,82485.25,507.83
601132.25,180382.41,294.29
547329.52,93984.44,321.16
522129.8,103484.89,828.39
501329.42,97485.42,736.02
541329.86,106784.51,513.47
547629.21,79484.46,584.9
601131.66,165182.57,172.62
454728.21,58285.95,1236.72
475930.33,145486.67,1878.73
387528.3,121488.31,1263.28
596431.34,151482.8,282.72
388127.99,107487.87,703.98
456027.99,43485.84,1384.9
595530.7,138082.93,185.17
437227.65,36786.1,874.48
389027.93,100487.53,498.39
407828.22,101687.36,1018.42
477028.0,49285.74,1000.59
583131.55,160483.25,230.13
584031.1,145383.32,319.93
477128.26,61485.77,1170.38
407428.41,117087.81,1449.57
542429.66,100084.51,456.96
500029.6,104085.55,890.4
547230.54,127484.52,789.92
603831.58,163382.49,167.84
501930.03,118985.59,735.91
542329.33,82484.58,157.99
